,Nenjiang,Qiqihar,Jiamusi,Harbin,Mudanjiang,Changchun,Kaiyuan,Shenyang,Chaoyang,Dandong,Dalian,Hailar,Xilinhot,Chifeng,Doron,Bailingmiao,Hohhot,Shanbazhen,Etuoke,Datong,Taiyuan,Linyi,Changzhi,Beijing,Tianjin,Tangshan,Baoding,Zhangzhou,Shijiazhuang,Handan,Anyang,Luoyang,Zhengzhou,Nanyang,Xinyang,Dezhou,Laiyang,Jinan,Linyi,Heze,Xuzhou,Yangzhou,Nanjing,Suzhou,Shanghai,Fuyang,Bengbu,Hefei,Anqing,Tunxi,Hangzhou,Ningbo,Jinhua,Wenzhou,Jiujiang,Nanchang,Shangrao,Ji&#39;an,Ganzhou,Jianyang,Fuzhou,Yongan,Zhangzhou,Taipei,Tainan,Yun County,Yichang,Gangneung,Wuhan,Yueyang,Fuling,Changsha,Shaoyang,Zhangzhou,Shaoguan,Shantou,Guangzhou,Zhanjiang,Haikou,Guilin,Liuzhou,Baise,Zhangzhou,Nanning,Altay,Yining,Urumqi,Hami,Kashgar,Xining,Golmud,Zhangye,Lanzhou,Pingliang,Tianshui,Yinchuan,Yulin,Yan&#39;an,Xi&#39;an,Hanzhong,Ankang,Guangyuan,Wanxian,Chengdu,Kangding,Chongqing,Xichang,Tongren,Bijie,Guiyang,Xingren,Zhaotong,Dali,Tengchong,Kunming,Simao,Heihe,Changdu,Lhasa,Palizhen
1517,,,,,,,,,,,,,,,,,,,,4.0,4,4.0,2.0,1.0,1,2,1,1.0,1,1,2.0,,3.0,,,2.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1,2,1,2,1,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,,,,2.0,3,1.0,2,2.0,4.0,2.0,4.0,4.0,,2,,4.0,,3.0,3.0,,3.0,4.0,,,,,,,,2.0,,,,,4,4,3,3,3.0,,,,,,,,,3.0,,,,,,,,,,
1518,,,,,,,,2.0,,,,,,,,,,,,3.0,3,3.0,1.0,3.0,3,3,3,4.0,2,2,2.0,,3.0,,,1.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1,4,4,2,2,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,,,,,3.0,3,3.0,1,5.0,5.0,4.0,4.0,3.0,,,2.0,,,4.0,4.0,4.0,4.0,4.0,,,,,,,,3.0,,,,,3,3,3,3,3.0,,,,,,,,,1.0,,,3.0,4.0,,,,,,
1519,,,,,,,,,4.0,,,,,,,,,,,4.0,2,2.0,2.0,2.0,2,4,2,2.0,1,2,3.0,,1.0,2.0,,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2,2,2,2,2,4.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,,,,3.0,3,3.0,4,3.0,2.0,3.0,4.0,2.0,4.0,,2.0,,,3.0,4.0,,3.0,4.0,,,,,,3.0,,3.0,4.0,,,,3,3,2,1,1.0,2.0,,,,,,,,,,,3.0,,,,,,,
1520,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,2,2.0,2.0,2.0,3,4,3,2.0,2,2,3.0,,3.0,,,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3,3,4,4,2,2.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,,,,,3,3.0,2,1.0,,2.0,2.0,2.0,2.0,,4.0,,,4.0,3.0,,3.0,4.0,,,,,,,,4.0,4.0,,,,3,3,3,3,3.0,,,3.0,,1.0,2.0,,,,,,2.0,,,,,,,
1521,,,,,,,1.0,2.0,,,,,,,,,,,,5.0,1,2.0,2.0,2.0,4,3,3,5.0,2,2,1.0,2.0,3.0,,,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4,3,5,4,3,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,,4.0,2.0,5.0,,,,,3.0,3,,,,,1.0,2.0,,2.0,,,3.0,3.0,,3.0,,,,,,,,,5.0,,,,,5,5,5,4,4.0,2.0,,,,,,,,,,,3.0,,,,,,,
1522,,,,,,,5.0,5.0,5.0,4.0,,,,,,,,,,4.0,2,2.0,2.0,5.0,3,5,4,2.0,3,2,3.0,3.0,3.0,,,3.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1,4,4,1,2,4.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,,,,,,3.0,2,2.0,,1.0,1.0,1.0,2.0,,,,4.0,1.0,3.0,,2.0,,,,,,,,,,,2.0,,5.0,4,4,4,5,5.0,3.0,2.0,5.0,,4.0,,,,,3.0,,3.0,,3.0,,,,,
1523,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,5.0,3,3.0,3.0,4.0,4,5,4,4.0,4,4,1.0,1.0,1.0,,1.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,4,5,5,4,5,5.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,,,,4,5.0,5,5.0,4.0,5.0,4.0,2.0,2.0,,2.0,,,4.0,3.0,,4.0,,,,,,,,,,,3.0,,,2,3,3,2,2.0,4.0,,5.0,,,,,,,3.0,,2.0,4.0,,,,,,
1524,,,,,,,4.0,4.0,4.0,,,,,,,,,,,5.0,3,3.0,3.0,5.0,5,5,4,4.0,4,4,5.0,3.0,2.0,,4.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,5,4,4,4,4,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,,,,,,3.0,3,3.0,,3.0,,3.0,,2,,,1.0,5.0,3.0,,3.0,,,,,,,,,,,3.0,,,3,3,3,3,3.0,4.0,,,,,,,,,3.0,,,,,,,,,
1525,,,,,,,,1.0,4.0,,,,,,,,,,,4.0,4,4.0,2.0,2.0,3,4,2,2.0,3,3,4.0,3.0,3.0,,,3.0,2.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,4,3,3,3,3,3.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,,,,,2.0,3,,,3.0,5.0,4.0,4.0,,2.0,,,3.0,2.0,,2.0,2.0,,,,,,,,,,2.0,2.0,,4,4,4,4,4.0,4.0,,,,,,,,,3.0,,,,,,,,,
1526,,,,,,,,,,,,,,,,,,,,4.0,3,3.0,3.0,3.0,3,3,3,2.0,2,3,3.0,3.0,3.0,,,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,5,3,4,4,4,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,4.0,,,,4,2.0,4,4.0,,4.0,4.0,4.0,5.0,,4.0,,,3.0,,,2.0,,,,,,,,,,,3.0,3.0,,3,3,3,2,2.0,5.0,,4.0,,,,3.0,,,3.0,,,,,,,,,
1527,,,,,,3.0,5.0,5.0,5.0,,,,,,,,,,,2.0,3,3.0,3.0,3.0,4,3,4,4.0,3,4,5.0,4.0,4.0,4.0,,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3,3,5,3,2,1.0,1.0,1.0,3.0,5.0,2.0,,3.0,4.0,,3.0,3.0,2.0,,,,,3,2.0,1,1.0,,2.0,2.0,2.0,2.0,,2.0,2.0,,,,,3.0,,,,,,,,,3.0,4.0,2.0,3.0,,4,4,4,5,5.0,5.0,,,,,,3.0,,,3.0,,,,5.0,,,,,
1528,,,,,,,,,,,,,,,,,,,,4.0,5,5.0,4.0,3.0,3,4,4,3.0,3,5,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,5,4,4,4,3,2.0,4.0,3.0,3.0,3.0,3.0,,3.0,,,2.0,5.0,3.0,3.0,,,5.0,4,5.0,5,5.0,,4.0,5.0,5.0,4.0,,4.0,2.0,5.0,,,,3.0,,,,,,,,,,5.0,5.0,5.0,3.0,5,5,5,5,5.0,5.0,,4.0,,4.0,,,,5.0,5.0,,,4.0,,,,,,
1529,,,,,,,4.0,,4.0,,,,,,,,,,,5.0,4,5.0,4.0,4.0,3,4,3,4.0,5,4,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,4,4,4,4,2,2.0,4.0,4.0,1.0,2.0,3.0,,1.0,,,2.0,,2.0,3.0,,,3.0,3,3.0,3,3.0,2.0,2.0,,3.0,4.0,5,,,1.0,,,,3.0,,,,,,,4.0,,,,5.0,5.0,5.0,5,4,1,2,2.0,4.0,,3.0,,3.0,,4.0,,5.0,3.0,,,,,2.0,,,,
1530,,,,,,,1.0,1.0,2.0,,,,,,,,,,,1.0,3,4.0,3.0,4.0,3,3,3,2.0,2,2,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,5,2,4,4,2,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,,1.0,2.0,3.0,2.0,4.0,,,3.0,3,2.0,2,2.0,2.0,3.0,,3.0,4.0,4,5.0,,4.0,,,,3.0,3.0,,,,,,,,,3.0,3.0,,5.0,3,3,3,3,3.0,4.0,,,,,,3.0,,3.0,2.0,,,2.0,,,,,,
1531,,,,,,,,,,,,,,,,,,,,5.0,4,4.0,4.0,2.0,2,2,1,3.0,2,4,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2,4,4,1,3,4.0,1.0,2.0,3.0,4.0,3.0,,3.0,,5.0,,3.0,3.0,,,,4.0,3,3.0,2,2.0,,2.0,2.0,5.0,2.0,,,,,2.0,,,3.0,3.0,,,,,,,,,,5.0,,4.0,5,5,5,4,4.0,,,,,,,3.0,,3.0,3.0,,,,,,,,,
1532,,,,,,,4.0,4.0,4.0,,,,,,,,,,,5.0,3,5.0,5.0,4.0,2,3,3,2.0,2,4,3.0,3.0,2.0,,3.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,3,3,5,3,5,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,,,4.0,3,4.0,4,4.0,2.0,4.0,4.0,2.0,,,,,2.0,2.0,,,3.0,4.0,,,,,,,,,,5.0,,4.0,5,5,2,1,1.0,,,,,4.0,,2.0,3.0,3.0,3.0,,,,,,,,,
1533,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,4.0,4,4.0,4.0,3.0,3,5,2,3.0,3,2,3.0,2.0,3.0,,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,,3.0,2,4,5,3,4,3.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,,,3.0,3,,3,1.0,,,,3.0,,,,,,2.0,,,3.0,4.0,,,,,,,,,,5.0,,5.0,5,5,4,3,3.0,,,,,,,1.0,,3.0,,,,,,,,,,
1534,,,,,,,,,,,,,,,,,,,,4.0,5,5.0,4.0,3.0,3,2,2,3.0,3,3,3.0,3.0,3.0,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2,4,4,4,2,2.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,,,,,3.0,3,,4,4.0,3.0,3.0,3.0,1.0,,,,,,3.0,,,2.0,3.0,,,,,,,,4.0,,1.0,,,3,1,1,3,3.0,,,,,,,3.0,,3.0,,,,,,,,,,
1535,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,2,2.0,4.0,3.0,3,3,4,3.0,4,3,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4,4,4,4,5,2.0,2.0,3.0,3.0,,3.0,,1.0,1.0,1.0,1.0,2.0,2.0,4.0,,,3.0,2,,4,2.0,,2.0,3.0,,4.0,4,2.0,2.0,,2.0,,,1.0,2.0,,,,,,,,3.0,2.0,2.0,,,2,2,3,3,3.0,,,,,,,3.0,,3.0,,,1.0,,,,,,,
1536,,,,,,,3.0,,,,,,,,,,,,,4.0,2,2.0,3.0,3.0,3,2,2,2.0,3,3,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,,5.0,3.0,4.0,2,1,1,3,3,3.0,3.0,3.0,2.0,,3.0,,3.0,4.0,5.0,2.0,4.0,2.0,5.0,,,3.0,3,,3,2.0,,3.0,3.0,4.0,5.0,,5.0,4.0,4.0,4.0,,,2.0,3.0,,,,,,,,3.0,3.0,2.0,,,3,3,3,2,2.0,,,,,,,3.0,,3.0,,,,,,,,,,
1537,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,3.0,4,4.0,4.0,1.0,1,2,2,2.0,2,3,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,,2.0,2.0,2.0,2,5,3,4,1,3.0,3.0,2.0,3.0,,1.0,,3.0,4.0,1.0,,5.0,1.0,5.0,,,3.0,3,2.0,2,2.0,3.0,2.0,2.0,2.0,2.0,,2.0,2.0,,1.0,,,2.0,3.0,,,,,,4.0,,3.0,3.0,2.0,3.0,,4,4,2,4,4.0,,,,,,,3.0,,3.0,,,,,,2.0,,,,
1538,,,,,,,,,,,,,,,,,,,,3.0,4,3.0,3.0,2.0,2,4,2,2.0,2,2,2.0,2.0,1.0,4.0,2.0,5.0,4.0,4.0,1.0,5.0,,4.0,5.0,2.0,3,2,5,5,3,3.0,3.0,3.0,3.0,,3.0,,4.0,1.0,5.0,,5.0,3.0,4.0,,,2.0,3,3.0,4,4.0,5.0,5.0,5.0,5.0,,2,,,,4.0,,,2.0,2.0,,,,,,3.0,,4.0,3.0,2.0,3.0,4.0,5,4,4,2,2.0,3.0,,,,,,3.0,,3.0,,,,,2.0,,,,,
1539,,,,,,,4.0,,,,,,,,,,,,,4.0,5,4.0,4.0,4.0,3,3,3,2.0,3,3,2.0,1.0,3.0,4.0,5.0,2.0,1.0,2.0,5.0,4.0,,2.0,2.0,2.0,2,3,3,5,2,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,,2.0,3.0,,,,5.0,3,4.0,4,4.0,5.0,5.0,4.0,4.0,2.0,,,,,3.0,,,2.0,3.0,,,,,,4.0,,4.0,3.0,2.0,3.0,5.0,4,3,3,1,1.0,,,,,,,3.0,,3.0,,,,,,,,,,
1540,,,,,,,,,,,,,,,,,,,,4.0,1,4.0,4.0,3.0,3,5,2,,3,4,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,,4.0,3.0,5.0,2,4,4,4,3,3.0,4.0,2.0,4.0,,1.0,,1.0,1.0,2.0,,3.0,2.0,,,,3.0,3,3.0,2,2.0,1.0,3.0,2.0,2.0,2.0,,2.0,,1.0,3.0,,,3.0,3.0,,,,,,,,,,2.0,2.0,4.0,2,2,3,3,3.0,5.0,,1.0,,,,4.0,,,,,,3.0,3.0,,,,,
1541,,,,,,,,,,,,,,,,,,,,4.0,1,3.0,3.0,4.0,4,1,4,,4,4,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3,4,4,3,3,3.0,5.0,3.0,3.0,,5.0,,3.0,5.0,3.0,,5.0,,,,,3.0,4,5.0,3,2.0,,3.0,3.0,,,,,,,3.0,,,3.0,3.0,,,,,,,,,,4.0,3.0,3.0,3,3,3,3,3.0,5.0,4.0,,,,,4.0,,,,,,,,,,,,
1542,,,,,,,,,,,,,,,,,,,,3.0,3,3.0,3.0,2.0,3,2,4,,3,3,3.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,3,3,3,3,3,3.0,3.0,3.0,4.0,,3.0,,3.0,5.0,3.0,,1.0,3.0,2.0,,,3.0,3,3.0,3,2.0,,3.0,,2.0,4.0,,,,,3.0,,,3.0,3.0,,,,,,,,,,3.0,3.0,3.0,1,2,3,1,1.0,2.0,,,,,,2.0,,,,,,,,,,,,
1543,,,,,,5.0,5.0,4.0,4.0,,,,,,,,,,,3.0,3,3.0,2.0,4.0,3,4,1,,2,2,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,5,1,2,3,4,2.0,3.0,3.0,4.0,,3.0,,3.0,4.0,2.0,,4.0,,,,,2.0,3,3.0,3,2.0,3.0,4.0,4.0,2.0,2.0,,4.0,,4.0,3.0,,,3.0,3.0,,,,,,,,,,3.0,2.0,3.0,3,3,3,3,2.0,2.0,,,,,,3.0,,,,,,2.0,,,,,,
1544,,,,,,,,,5.0,,,,,,,,,,,1.0,1,1.0,3.0,2.0,2,3,3,,3,2,3.0,2.0,2.0,,4.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,5.0,5,2,4,4,5,5.0,5.0,4.0,5.0,5.0,5.0,,4.0,4.0,4.0,,5.0,4.0,5.0,,,3.0,3,5.0,5,5.0,5.0,5.0,5.0,5.0,4.0,5,4.0,,,3.0,,,4.0,5.0,,,,,,,,,,3.0,3.0,4.0,3,3,3,3,3.0,3.0,,,,,,3.0,,,,,,,,,,,,
1545,,,,,,1.0,,,,,,,,,,,,,,4.0,5,4.0,4.0,4.0,3,3,4,,3,4,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,5,3,1,3,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,,,3.0,3,4.0,4,4.0,5.0,4.0,4.0,4.0,4.0,4,4.0,,,3.0,,,4.0,,,,,,,,,3.0,,2.0,3.0,3.0,4,4,4,3,3.0,5.0,,,,,,3.0,,,,,,,,,,,,
1546,,,,,,,,2.0,1.0,,,,,,,,,,,3.0,3,2.0,1.0,1.0,1,3,2,,3,3,3.0,4.0,3.0,,3.0,4.0,1.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0,4,4,3,1,2,4.0,2.0,2.0,3.0,3.0,4.0,,,,2.0,,,3.0,3.0,,,3.0,3,2.0,3,,4.0,3.0,,3.0,,,,2.0,2.0,3.0,,,3.0,,,,,,,,,3.0,,3.0,2.0,4.0,2,3,3,2,1.0,5.0,,,,,,3.0,,4.0,3.0,,,,,2.0,,,,
1547,,,,,,,5.0,5.0,5.0,,,,,,,,,,,4.0,3,3.0,3.0,3.0,3,2,3,,3,2,3.0,3.0,2.0,,2.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,,4.0,3,3,3,3,3,4.0,3.0,3.0,3.0,2.0,3.0,,,,3.0,3.0,,2.0,1.0,,,2.0,,3.0,3,,4.0,,,,,,2.0,4.0,,2.0,,,2.0,,,,,,,,,3.0,2.0,2.0,4.0,3.0,3,3,3,2,1.0,3.0,,,,,,3.0,,3.0,4.0,,4.0,,,,,,,
1548,,,,,,,,2.0,,,,,,,,,,,,2.0,2,3.0,3.0,2.0,3,2,3,,1,3,2.0,3.0,2.0,,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,4.0,4,2,3,3,2,3.0,4.0,3.0,3.0,4.0,1.0,,,,1.0,1.0,,,1.0,,,2.0,,3.0,3,,2.0,,2.0,,2.0,,2.0,2.0,,3.0,,,4.0,,,,,,,,,3.0,3.0,3.0,4.0,2.0,3,3,3,3,3.0,,,,,,,2.0,,3.0,3.0,,3.0,1.0,3.0,,,,,
1549,,,,,,,,,,,,,,,,,,,,3.0,3,3.0,4.0,3.0,3,3,3,,5,4,5.0,4.0,2.0,,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,,2.0,3,3,4,1,2,3.0,2.0,3.0,,2.0,1.0,,,,3.0,,2.0,,2.0,,,3.0,,3.0,4,,3.0,,,2.0,,,2.0,2.0,,3.0,3.0,,3.0,4.0,,,,,,,,3.0,3.0,1.0,3.0,3.0,3,3,3,3,3.0,4.0,,,,,,4.0,4.0,4.0,4.0,,5.0,,,,,,,
1550,,,,,,1.0,,,,,,,,,,,,,,4.0,4,4.0,3.0,4.0,3,2,4,4.0,5,5,4.0,4.0,2.0,,3.0,4.0,,4.0,5.0,4.0,4.0,3.0,,3.0,3,4,4,3,3,4.0,3.0,2.0,5.0,5.0,1.0,,,4.0,3.0,,5.0,3.0,,,,3.0,,3.0,2,2.0,3.0,,2.0,,,,,,,3.0,3.0,,4.0,3.0,,,,,,,,3.0,,4.0,3.0,3.0,4,4,4,2,2.0,,,,,4.0,,3.0,3.0,3.0,3.0,,,2.0,,,,,,
1551,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,4.0,4,3.0,3.0,3.0,3,3,4,4.0,3,1,1.0,3.0,2.0,,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,,3.0,3,2,2,3,3,3.0,3.0,3.0,2.0,2.0,3.0,,,2.0,3.0,1.0,,,,,,1.0,,1.0,3,,4.0,3.0,3.0,,2.0,,2.0,,,3.0,3.0,,3.0,5.0,,,,,,,,1.0,,3.0,2.0,2.0,3,3,3,1,2.0,,,,,,,3.0,3.0,3.0,3.0,,,3.0,,,,,,
1552,,,,,,,,,,,,,,,,,,,,5.0,4,4.0,3.0,4.0,2,2,3,2.0,2,2,1.0,3.0,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,,3.0,3,2,1,2,3,5.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,,,,,,3.0,,3.0,2,,3.0,3.0,,4.0,2.0,,,4.0,,2.0,3.0,,2.0,5.0,,,,,,,,3.0,,3.0,3.0,,3,3,3,3,3.0,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,
1553,,,,,,,2.0,,,,,,,,,,,,,2.0,1,3.0,2.0,1.0,1,1,1,2.0,1,1,2.0,1.0,1.0,,1.0,2.0,,2.0,1.0,1.0,5.0,4.0,4.0,3.0,3,1,2,2,1,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,3.0,3,,,3.0,,,,,2.0,2.0,,3.0,,,,3.0,,,,,,,,3.0,,3.0,3.0,,2,2,4,3,3.0,,,,,,,3.0,3.0,3.0,3.0,,,3.0,2.0,,,,,
1554,,,,,,,,,,,,,,,,,,,,3.0,4,,3.0,1.0,2,1,1,4.0,2,1,2.0,2.0,2.0,,3.0,1.0,,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5,4,4,4,4,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,4.0,4,4.0,,1.0,,,,,,,,3.0,,,,3.0,,,,,,,,1.0,,2.0,2.0,,3,3,3,2,2.0,,3.0,,,,,,,3.0,,,,3.0,2.0,,,,,
1555,,,,,,,,,,,,,,,,,,,,4.0,4,4.0,2.0,2.0,3,3,2,2.0,2,2,2.0,3.0,3.0,,3.0,2.0,,4.0,3.0,4.0,3.0,2.0,,2.0,3,2,1,2,3,4.0,3.0,3.0,3.0,,3.0,3.0,1.0,2.0,3.0,,3.0,2.0,,,,,,3.0,3,,3.0,3.0,3.0,,,,4.0,,5.0,5.0,,,,3.0,,,,,,,,3.0,,5.0,3.0,4.0,4,4,4,3,3.0,,,,,4.0,,,,3.0,,,,3.0,,,,,,
1556,,,,,,,2.0,4.0,4.0,,5.0,,,,,,,,,3.0,2,3.0,2.0,1.0,3,4,1,3.0,2,3,3.0,2.0,2.0,,3.0,2.0,,4.0,3.0,4.0,3.0,1.0,,3.0,3,3,3,3,3,3.0,2.0,3.0,3.0,,4.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,,,,,4,1.0,2,2.0,,3.0,,,1.0,,,,,4.0,,,,3.0,,,,,,,,4.0,,4.0,3.0,5.0,3,3,3,3,3.0,,,,,,,,,3.0,,,,3.0,,5.0,,,,
1557,,,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,1.0,2,2.0,2.0,2.0,3,3,2,3.0,2,2,2.0,3.0,3.0,,3.0,2.0,,2.0,3.0,3.0,3.0,3.0,,4.0,3,3,3,3,3,2.0,2.0,4.0,4.0,,,3.0,2.0,3.0,2.0,,,1.0,3.0,,,,4,3.0,3,,,,2.0,,,,,,,2.0,,,,3.0,,,,,,,,2.0,,2.0,,3.0,1,2,3,3,3.0,,,,,,,,,3.0,,,,3.0,,,,,,
1558,,,,,,,2.0,1.0,4.0,,,,,,,,,,,4.0,4,4.0,3.0,2.0,2,4,4,3.0,5,3,3.0,3.0,3.0,2.0,3.0,5.0,,5.0,3.0,3.0,4.0,3.0,,4.0,2,3,3,2,2,3.0,3.0,3.0,3.0,,,3.0,3.0,2.0,3.0,,3.0,2.0,4.0,,,3.0,3,3.0,3,2.0,,,,2.0,,,4.0,,,3.0,,,,3.0,,,,,,,,,,1.0,,1.0,4,4,4,3,3.0,,,,,,,,,3.0,,,1.0,2.0,,,,,,
1559,,,,,,,2.0,1.0,2.0,,2.0,,,,,,,,,5.0,3,3.0,3.0,1.0,2,2,3,2.0,1,3,3.0,3.0,1.0,,4.0,4.0,,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5,4,4,2,3,3.0,2.0,4.0,5.0,,,3.0,3.0,2.0,3.0,,5.0,,4.0,,,2.0,3,3.0,4,,2.0,,2.0,,2.0,,2.0,,,3.0,,,,3.0,,,,,,3.0,,,2.0,4.0,,3.0,4,4,3,3,3.0,,,,,,,,,3.0,,,,3.0,,,,,,
1560,,,,,,,,,,,3.0,,,,,,,,,4.0,5,4.0,4.0,5.0,4,5,5,5.0,5,5,5.0,1.0,3.0,,4.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,1.0,3.0,3,4,3,2,1,4.0,1.0,4.0,5.0,4.0,,2.0,2.0,2.0,3.0,,3.0,3.0,3.0,,,2.0,1,1.0,2,1.0,1.0,1.0,1.0,2.0,4.0,4,5.0,,,4.0,4.0,,4.0,4.0,,,,,,3.0,,,2.0,4.0,,4.0,4,4,4,3,3.0,,2.0,3.0,,2.0,3.0,3.0,,3.0,3.0,,,,,,,,,
1561,,,,,,,,,4.0,,4.0,,,,,,,,,5.0,5,5.0,5.0,4.0,3,5,4,3.0,5,4,4.0,4.0,3.0,,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,,1.0,1,3,1,1,2,1.0,1.0,2.0,1.0,2.0,,3.0,1.0,3.0,2.0,,3.0,5.0,5.0,,,4.0,3,3.0,3,3.0,,,3.0,3.0,,,4.0,,,3.0,,,,3.0,,,,,,3.0,,,3.0,3.0,,3.0,4,4,5,4,4.0,,,,,,,4.0,,4.0,4.0,,,,,,,,,
1562,,,,,,,,,,,,,,,,,,,,2.0,2,3.0,3.0,3.0,3,3,2,1.0,3,2,2.0,5.0,2.0,,3.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,,2.0,1,2,2,2,3,4.0,4.0,3.0,1.0,,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,4.0,,,3.0,2,2.0,3,,,,,3.0,,,,,,3.0,,,,4.0,,,,,,3.0,,,3.0,3.0,3.0,3.0,2,2,4,4,4.0,,,,,,,,,3.0,3.0,,,,,,,,,
